Designator,Mid X,Mid Y,Rotation,Layer
BT1,90.0,-123.2,270.0,top
C1,152.3,-138.3,90.0,top
C10,206.5,-140.085,270.0,top
C11,204.8,-138.9,0.0,top
C12,111.55,-149.5,90.0,top
C13,116.8,-148.6,90.0,top
C14,212.55,-136.0,180.0,top
C15,212.55,-142.0,180.0,top
C16,212.55,-140.0,180.0,top
C17,212.5375,-138.0,180.0,top
C18,190.22,-151.1,0.0,top
C19,209.1,-145.32,270.0,top
C2,188.4375,-129.7,180.0,top
C3,185.9,-141.5875,270.0,top
C4,209.05,-140.0,0.0,top
C5,199.45,-143.75,180.0,top
C6,209.05,-142.0,0.0,top
C7,170.15,-141.9,0.0,top
C8,170.1375,-139.5,0.0,top
C9,184.22,-151.1,180.0,top
D1,112.7,-158.9,180.0,top
D2,116.35,-158.9,180.0,top
D3,211.5,-158.9,180.0,top
J10,127.0,-152.99,0.0,top
J11,187.0,-157.525,0.0,top
J12,172.0,-148.575,0.0,top
J14,205.3,-82.7,90.0,top
J16,126.5,-75.0,180.0,top
J2,146.62,-73.23,90.0,top
J22,102.0,-152.99,0.0,top
J4,226.5,-114.95,180.0,top
J5,90.5,-75.0,180.0,top
J6,121.67,-101.93,90.0,top
J7,201.08,-152.45,180.0,top
J8,111.5,-107.5,90.0,top
J9,140.5,-150.5,180.0,top
L1,209.95,-132.1,0.0,top
MODULE1,195.5,-73.5,180.0,top
R1,115.8,-156.4,90.0,top
R10,113.6,-156.4,90.0,top
R11,209.2,-88.95,90.0,top
R12,186.8,-136.1,180.0,top
R13,203.65,-93.35,90.0,top
R14,205.9,-135.315,270.0,top
R15,204.8,-137.9,0.0,top
R16,206.5,-137.415,90.0,top
R17,212.6,-156.8,90.0,top
R2,162.6,-138.215,90.0,top
R3,160.3,-138.215,90.0,top
R5,196.0,-81.5,0.0,top
R6,111.685,-94.6,0.0,top
R7,111.685,-96.1,0.0,top
R8,133.215,-79.7,0.0,top
R9,206.3,-143.5,270.0,top
SW1,108.505,-74.2325,0.0,top
U1,155.4,-138.285,180.0,top
U12,114.1,-147.6,270.0,top
U18,206.9,-93.35,0.0,top
U2,149.4,-138.285,180.0,top
U3,153.0,-148.085,0.0,top
U6,187.5,-133.2625,90.0,top
U7,211.55,-146.2,270.0,top
U8,208.6,-137.0,0.0,top
